ENDW,REG,ENDWRES,SCEN,Value
AEZ15,EU27,pe,BAU_noES,48.918987274
AEZ16,EU27,pe,BAU_noES,67.825065613
AEZ17,EU27,pe,BAU_noES,86.395004272
AEZ18,EU27,pe,BAU_noES,86.39339447
UnSkLab,EU27,pe,BAU_noES,0.30017262697
SkLab,EU27,pe,BAU_noES,-8.4938364029
Capital,EU27,pe,BAU_noES,-12.783521652
NatRes,EU27,pe,BAU_noES,245.35757446
AEZ1,IDN,pe,BAU_noES,-5.0198283195
AEZ2,IDN,pe,BAU_noES,-5.0198283195
AEZ3,IDN,pe,BAU_noES,51.948753357
AEZ4,IDN,pe,BAU_noES,61.820842743
AEZ5,IDN,pe,BAU_noES,69.133598328
AEZ6,IDN,pe,BAU_noES,68.560600281
AEZ7,IDN,pe,BAU_noES,-5.0198283195
AEZ8,IDN,pe,BAU_noES,-5.0198283195
AEZ9,IDN,pe,BAU_noES,14.357292175
AEZ10,IDN,pe,BAU_noES,12.704509735
AEZ11,IDN,pe,BAU_noES,64.859191895
AEZ12,IDN,pe,BAU_noES,55.674835205
AEZ13,IDN,pe,BAU_noES,-5.0198283195
AEZ14,IDN,pe,BAU_noES,-5.0198283195
AEZ15,IDN,pe,BAU_noES,-5.0198283195
AEZ16,IDN,pe,BAU_noES,-5.0198283195
AEZ17,IDN,pe,BAU_noES,-5.0198283195
AEZ18,IDN,pe,BAU_noES,-5.0198283195
UnSkLab,IDN,pe,BAU_noES,-19.350135803
SkLab,IDN,pe,BAU_noES,-37.206386566
Capital,IDN,pe,BAU_noES,-30.881784439
NatRes,IDN,pe,BAU_noES,217.49278259
AEZ1,INDIA,pe,BAU_noES,57.197525024
AEZ2,INDIA,pe,BAU_noES,56.5666008
AEZ3,INDIA,pe,BAU_noES,53.208869934
AEZ4,INDIA,pe,BAU_noES,56.678585052
AEZ5,INDIA,pe,BAU_noES,56.857303619
AEZ6,INDIA,pe,BAU_noES,65.396026611
AEZ7,INDIA,pe,BAU_noES,47.529346466
AEZ8,INDIA,pe,BAU_noES,53.512508392
AEZ9,INDIA,pe,BAU_noES,53.896835327
AEZ10,INDIA,pe,BAU_noES,51.114818573
AEZ11,INDIA,pe,BAU_noES,50.253128052
AEZ12,INDIA,pe,BAU_noES,52.862941742
AEZ13,INDIA,pe,BAU_noES,66015.734375
AEZ14,INDIA,pe,BAU_noES,66015.734375
AEZ15,INDIA,pe,BAU_noES,66015.734375
AEZ16,INDIA,pe,BAU_noES,66015.734375
AEZ17,INDIA,pe,BAU_noES,66015.734375
AEZ18,INDIA,pe,BAU_noES,66015.734375
UnSkLab,INDIA,pe,BAU_noES,-13.298181534
SkLab,INDIA,pe,BAU_noES,-13.649021149
Capital,INDIA,pe,BAU_noES,-31.811607361
NatRes,INDIA,pe,BAU_noES,232.63366699
AEZ1,JAPAN,pe,BAU_noES,10.188824654
AEZ2,JAPAN,pe,BAU_noES,10.188824654
AEZ3,JAPAN,pe,BAU_noES,10.188824654
AEZ4,JAPAN,pe,BAU_noES,10.188824654
AEZ5,JAPAN,pe,BAU_noES,10.188824654
AEZ6,JAPAN,pe,BAU_noES,40.7849617
AEZ7,JAPAN,pe,BAU_noES,10.188824654
AEZ8,JAPAN,pe,BAU_noES,10.188824654
AEZ9,JAPAN,pe,BAU_noES,57.520015717
AEZ10,JAPAN,pe,BAU_noES,52.880443573
AEZ11,JAPAN,pe,BAU_noES,60.827640533
AEZ12,JAPAN,pe,BAU_noES,59.513988495
AEZ13,JAPAN,pe,BAU_noES,10.188824654
AEZ14,JAPAN,pe,BAU_noES,56.421512604
AEZ15,JAPAN,pe,BAU_noES,59.284317017
AEZ16,JAPAN,pe,BAU_noES,23.032718658
AEZ17,JAPAN,pe,BAU_noES,10.188824654
AEZ18,JAPAN,pe,BAU_noES,10.188824654
UnSkLab,JAPAN,pe,BAU_noES,-6.6268115044
SkLab,JAPAN,pe,BAU_noES,-13.577134132
Capital,JAPAN,pe,BAU_noES,-17.420520782
NatRes,JAPAN,pe,BAU_noES,298.76617432
AEZ1,KOR,pe,BAU_noES,18.714103699
AEZ2,KOR,pe,BAU_noES,18.714103699
AEZ3,KOR,pe,BAU_noES,18.714103699
AEZ4,KOR,pe,BAU_noES,18.714103699
AEZ5,KOR,pe,BAU_noES,18.714103699
AEZ6,KOR,pe,BAU_noES,18.714103699
AEZ7,KOR,pe,BAU_noES,18.714103699
AEZ8,KOR,pe,BAU_noES,18.714103699
AEZ9,KOR,pe,BAU_noES,18.714103699
AEZ10,KOR,pe,BAU_noES,53.713165283
AEZ11,KOR,pe,BAU_noES,51.716770172
AEZ12,KOR,pe,BAU_noES,45.060314178
AEZ13,KOR,pe,BAU_noES,18.714103699
AEZ14,KOR,pe,BAU_noES,18.714103699
AEZ15,KOR,pe,BAU_noES,18.714103699
AEZ16,KOR,pe,BAU_noES,18.714103699
AEZ17,KOR,pe,BAU_noES,18.714105606
AEZ18,KOR,pe,BAU_noES,18.714103699
UnSkLab,KOR,pe,BAU_noES,-1.4845122099
SkLab,KOR,pe,BAU_noES,-6.0097894669
Capital,KOR,pe,BAU_noES,-24.771205902
NatRes,KOR,pe,BAU_noES,308.30386353
AEZ1,MAR,pe,BAU_noES,5944149.5
AEZ2,MAR,pe,BAU_noES,5944149.5
AEZ3,MAR,pe,BAU_noES,5944149.5
AEZ4,MAR,pe,BAU_noES,5944149.5
AEZ5,MAR,pe,BAU_noES,5944149.5
AEZ6,MAR,pe,BAU_noES,97.871284485
AEZ7,MAR,pe,BAU_noES,107.17247772
AEZ8,MAR,pe,BAU_noES,108.30460358
AEZ9,MAR,pe,BAU_noES,122.25128174
AEZ10,MAR,pe,BAU_noES,118.07313538
AEZ11,MAR,pe,BAU_noES,5944149.5
AEZ12,MAR,pe,BAU_noES,97.870849609
AEZ13,MAR,pe,BAU_noES,5944149.5
AEZ14,MAR,pe,BAU_noES,5944149.5
AEZ15,MAR,pe,BAU_noES,5944149.5
AEZ16,MAR,pe,BAU_noES,5944149.5
AEZ17,MAR,pe,BAU_noES,5944149.5
AEZ18,MAR,pe,BAU_noES,5944149.5
UnSkLab,MAR,pe,BAU_noES,-2.8745424747
SkLab,MAR,pe,BAU_noES,-14.168171883
Capital,MAR,pe,BAU_noES,-18.749378204
NatRes,MAR,pe,BAU_noES,390.13626099
AEZ1,MDG,pe,BAU_noES,-99.923614502
AEZ2,MDG,pe,BAU_noES,9.376332283
AEZ3,MDG,pe,BAU_noES,-4.5277676582
AEZ4,MDG,pe,BAU_noES,-23.484605789
AEZ5,MDG,pe,BAU_noES,-21.403255463
AEZ6,MDG,pe,BAU_noES,-7.5490055084
AEZ7,MDG,pe,BAU_noES,-99.923614502
AEZ8,MDG,pe,BAU_noES,-99.923614502
AEZ9,MDG,pe,BAU_noES,16.205936432
AEZ10,MDG,pe,BAU_noES,-23.724840164
AEZ11,MDG,pe,BAU_noES,-25.202003479
AEZ12,MDG,pe,BAU_noES,-22.025011063
AEZ13,MDG,pe,BAU_noES,-99.923614502
AEZ14,MDG,pe,BAU_noES,-99.923614502
AEZ15,MDG,pe,BAU_noES,-99.923614502
AEZ16,MDG,pe,BAU_noES,-99.923614502
AEZ17,MDG,pe,BAU_noES,-99.923614502
AEZ18,MDG,pe,BAU_noES,-99.923614502
UnSkLab,MDG,pe,BAU_noES,8.0229310989
SkLab,MDG,pe,BAU_noES,70.100334167
Capital,MDG,pe,BAU_noES,28.190719604
NatRes,MDG,pe,BAU_noES,209.75543213
AEZ1,MEAS_NAfr,pe,BAU_noES,115.68032074
AEZ2,MEAS_NAfr,pe,BAU_noES,111.81584167
AEZ3,MEAS_NAfr,pe,BAU_noES,111.81595612
AEZ4,MEAS_NAfr,pe,BAU_noES,112.05552673
AEZ5,MEAS_NAfr,pe,BAU_noES,112.05552673
AEZ6,MEAS_NAfr,pe,BAU_noES,112.05552673
AEZ7,MEAS_NAfr,pe,BAU_noES,113.70769501
AEZ8,MEAS_NAfr,pe,BAU_noES,116.4515152
AEZ9,MEAS_NAfr,pe,BAU_noES,117.06613159
AEZ10,MEAS_NAfr,pe,BAU_noES,117.82224274
AEZ11,MEAS_NAfr,pe,BAU_noES,115.63916779
AEZ12,MEAS_NAfr,pe,BAU_noES,117.42124939
AEZ13,MEAS_NAfr,pe,BAU_noES,112.05552673
AEZ14,MEAS_NAfr,pe,BAU_noES,112.05552673
AEZ15,MEAS_NAfr,pe,BAU_noES,112.05552673
AEZ16,MEAS_NAfr,pe,BAU_noES,112.05552673
AEZ17,MEAS_NAfr,pe,BAU_noES,112.05552673
AEZ18,MEAS_NAfr,pe,BAU_noES,112.1158905
UnSkLab,MEAS_NAfr,pe,BAU_noES,-4.4238433838
SkLab,MEAS_NAfr,pe,BAU_noES,-8.755692482
Capital,MEAS_NAfr,pe,BAU_noES,-23.027456284
NatRes,MEAS_NAfr,pe,BAU_noES,177.18656921
AEZ1,MEX,pe,BAU_noES,34.957790375
AEZ2,MEX,pe,BAU_noES,33.599456787
AEZ3,MEX,pe,BAU_noES,30.815656662
AEZ4,MEX,pe,BAU_noES,31.878257751
AEZ5,MEX,pe,BAU_noES,33.668197632
AEZ6,MEX,pe,BAU_noES,31.450059891
AEZ7,MEX,pe,BAU_noES,34.10508728
AEZ8,MEX,pe,BAU_noES,30.906341553
AEZ9,MEX,pe,BAU_noES,29.295927048
AEZ10,MEX,pe,BAU_noES,31.121847153
AEZ11,MEX,pe,BAU_noES,32.23349762
AEZ12,MEX,pe,BAU_noES,31.172121048
AEZ13,MEX,pe,BAU_noES,11552.676758
AEZ14,MEX,pe,BAU_noES,11552.676758
AEZ15,MEX,pe,BAU_noES,11552.676758
AEZ16,MEX,pe,BAU_noES,11552.676758
AEZ17,MEX,pe,BAU_noES,11552.676758
AEZ18,MEX,pe,BAU_noES,11552.676758
UnSkLab,MEX,pe,BAU_noES,-4.3433308601
SkLab,MEX,pe,BAU_noES,-2.7818567753
Capital,MEX,pe,BAU_noES,-20.094263077
NatRes,MEX,pe,BAU_noES,225.68414307
AEZ1,MYS,pe,BAU_noES,13.196950912
AEZ2,MYS,pe,BAU_noES,13.196950912
AEZ3,MYS,pe,BAU_noES,13.196950912
AEZ4,MYS,pe,BAU_noES,13.196950912
AEZ5,MYS,pe,BAU_noES,13.196950912
AEZ6,MYS,pe,BAU_noES,48.951786041
AEZ7,MYS,pe,BAU_noES,13.196950912
AEZ8,MYS,pe,BAU_noES,13.196950912
AEZ9,MYS,pe,BAU_noES,13.196950912
AEZ10,MYS,pe,BAU_noES,13.196950912
AEZ11,MYS,pe,BAU_noES,13.196950912
AEZ12,MYS,pe,BAU_noES,25.892389297
AEZ13,MYS,pe,BAU_noES,13.196950912
AEZ14,MYS,pe,BAU_noES,13.196950912
AEZ15,MYS,pe,BAU_noES,13.196950912
AEZ16,MYS,pe,BAU_noES,13.196950912
AEZ17,MYS,pe,BAU_noES,13.196950912
AEZ18,MYS,pe,BAU_noES,13.196950912
UnSkLab,MYS,pe,BAU_noES,-4.8780684471
SkLab,MYS,pe,BAU_noES,-3.8836550713
Capital,MYS,pe,BAU_noES,-25.185510635
NatRes,MYS,pe,BAU_noES,200.74409485
AEZ1,NGA,pe,BAU_noES,141.30697632
AEZ2,NGA,pe,BAU_noES,142.65171814
AEZ3,NGA,pe,BAU_noES,143.86706543
AEZ4,NGA,pe,BAU_noES,148.80889893
AEZ5,NGA,pe,BAU_noES,158.39974976
AEZ6,NGA,pe,BAU_noES,186.48390198
AEZ7,NGA,pe,BAU_noES,54790200
AEZ8,NGA,pe,BAU_noES,54790200
AEZ9,NGA,pe,BAU_noES,54790200
AEZ10,NGA,pe,BAU_noES,142.71612549
AEZ11,NGA,pe,BAU_noES,143.38005066
AEZ12,NGA,pe,BAU_noES,54790200
AEZ13,NGA,pe,BAU_noES,54790200
AEZ14,NGA,pe,BAU_noES,54790200
AEZ15,NGA,pe,BAU_noES,54790200
AEZ16,NGA,pe,BAU_noES,54790200
AEZ17,NGA,pe,BAU_noES,54790200
AEZ18,NGA,pe,BAU_noES,54790200
UnSkLab,NGA,pe,BAU_noES,21.268575668
SkLab,NGA,pe,BAU_noES,-2.4433612823
Capital,NGA,pe,BAU_noES,-22.229475021
NatRes,NGA,pe,BAU_noES,197.70985413
AEZ1,Oceania,pe,BAU_noES,-6.3228611946
AEZ2,Oceania,pe,BAU_noES,-4.2786135674
AEZ3,Oceania,pe,BAU_noES,-11.157010078
AEZ4,Oceania,pe,BAU_noES,9.9026231766
AEZ5,Oceania,pe,BAU_noES,38.571285248
AEZ6,Oceania,pe,BAU_noES,0.10377687961
AEZ7,Oceania,pe,BAU_noES,-17.393280029
AEZ8,Oceania,pe,BAU_noES,-3.7181732655
AEZ9,Oceania,pe,BAU_noES,-8.2770414352
AEZ10,Oceania,pe,BAU_noES,-9.6162538528
AEZ11,Oceania,pe,BAU_noES,41.417888641
AEZ12,Oceania,pe,BAU_noES,41.594303131
AEZ13,Oceania,pe,BAU_noES,40.508789063
AEZ14,Oceania,pe,BAU_noES,40.508789063
AEZ15,Oceania,pe,BAU_noES,26.513599396
AEZ16,Oceania,pe,BAU_noES,35.19978714
AEZ17,Oceania,pe,BAU_noES,53.60125351
AEZ18,Oceania,pe,BAU_noES,40.508789063
UnSkLab,Oceania,pe,BAU_noES,20.447496414
SkLab,Oceania,pe,BAU_noES,35.923114777
Capital,Oceania,pe,BAU_noES,6.8812594414
NatRes,Oceania,pe,BAU_noES,263.00961304
AEZ1,Oth_CEE_CIS,pe,BAU_noES,12.971957207
AEZ2,Oth_CEE_CIS,pe,BAU_noES,12.971957207
AEZ3,Oth_CEE_CIS,pe,BAU_noES,12.971957207
AEZ4,Oth_CEE_CIS,pe,BAU_noES,12.971957207
AEZ5,Oth_CEE_CIS,pe,BAU_noES,12.971957207
AEZ6,Oth_CEE_CIS,pe,BAU_noES,12.971957207
AEZ7,Oth_CEE_CIS,pe,BAU_noES,46.560180664
AEZ8,Oth_CEE_CIS,pe,BAU_noES,50.459117889
AEZ9,Oth_CEE_CIS,pe,BAU_noES,47.330898285
AEZ10,Oth_CEE_CIS,pe,BAU_noES,45.609138489
AEZ11,Oth_CEE_CIS,pe,BAU_noES,41.163124084
AEZ12,Oth_CEE_CIS,pe,BAU_noES,28.026390076
AEZ13,Oth_CEE_CIS,pe,BAU_noES,29.333614349
AEZ14,Oth_CEE_CIS,pe,BAU_noES,41.067367554
AEZ15,Oth_CEE_CIS,pe,BAU_noES,26.808467865
AEZ16,Oth_CEE_CIS,pe,BAU_noES,27.684499741
AEZ17,Oth_CEE_CIS,pe,BAU_noES,12.971957207
AEZ18,Oth_CEE_CIS,pe,BAU_noES,12.971962929
UnSkLab,Oth_CEE_CIS,pe,BAU_noES,19.256303787
SkLab,Oth_CEE_CIS,pe,BAU_noES,11.788396835
Capital,Oth_CEE_CIS,pe,BAU_noES,-11.641488075
NatRes,Oth_CEE_CIS,pe,BAU_noES,227.12031555
AEZ1,Oth_Europe,pe,BAU_noES,4.7151651382
AEZ2,Oth_Europe,pe,BAU_noES,4.7151651382
AEZ3,Oth_Europe,pe,BAU_noES,4.7151651382
AEZ4,Oth_Europe,pe,BAU_noES,4.7151651382
AEZ5,Oth_Europe,pe,BAU_noES,4.7151651382
AEZ6,Oth_Europe,pe,BAU_noES,4.7151651382
AEZ7,Oth_Europe,pe,BAU_noES,4.8209481239
AEZ8,Oth_Europe,pe,BAU_noES,5.7157354355
AEZ9,Oth_Europe,pe,BAU_noES,8.0048828125
AEZ10,Oth_Europe,pe,BAU_noES,14.932971954
AEZ11,Oth_Europe,pe,BAU_noES,10.823304176
AEZ12,Oth_Europe,pe,BAU_noES,6.2764797211
AEZ13,Oth_Europe,pe,BAU_noES,4.7624516487
AEZ14,Oth_Europe,pe,BAU_noES,11.740484238
AEZ15,Oth_Europe,pe,BAU_noES,15.073369026
AEZ16,Oth_Europe,pe,BAU_noES,7.5167655945
AEZ17,Oth_Europe,pe,BAU_noES,4.7151651382
AEZ18,Oth_Europe,pe,BAU_noES,4.7151651382
UnSkLab,Oth_Europe,pe,BAU_noES,5.059091568
SkLab,Oth_Europe,pe,BAU_noES,-2.6069028378
Capital,Oth_Europe,pe,BAU_noES,-10.720683098
NatRes,Oth_Europe,pe,BAU_noES,181.69207764
AEZ1,PAK,pe,BAU_noES,51.787586212
AEZ2,PAK,pe,BAU_noES,16028.6875
AEZ3,PAK,pe,BAU_noES,16028.6875
AEZ4,PAK,pe,BAU_noES,16028.6875
AEZ5,PAK,pe,BAU_noES,16028.6875
AEZ6,PAK,pe,BAU_noES,16028.6875
AEZ7,PAK,pe,BAU_noES,53.182594299
AEZ8,PAK,pe,BAU_noES,52.5675354
AEZ9,PAK,pe,BAU_noES,52.097190857
AEZ10,PAK,pe,BAU_noES,53.695362091
AEZ11,PAK,pe,BAU_noES,53.353988647
AEZ12,PAK,pe,BAU_noES,49.776191711
AEZ13,PAK,pe,BAU_noES,16028.6875
AEZ14,PAK,pe,BAU_noES,16028.6875
AEZ15,PAK,pe,BAU_noES,16028.6875
AEZ16,PAK,pe,BAU_noES,16028.6875
AEZ17,PAK,pe,BAU_noES,16028.6875
AEZ18,PAK,pe,BAU_noES,16028.6875
UnSkLab,PAK,pe,BAU_noES,-37.125946045
SkLab,PAK,pe,BAU_noES,-31.099067688
Capital,PAK,pe,BAU_noES,-48.037372589
NatRes,PAK,pe,BAU_noES,248.53466797
AEZ1,PHL,pe,BAU_noES,-4.1490712166
AEZ2,PHL,pe,BAU_noES,-4.1490712166
AEZ3,PHL,pe,BAU_noES,-4.1490712166
AEZ4,PHL,pe,BAU_noES,65.737106323
AEZ5,PHL,pe,BAU_noES,62.460407257
AEZ6,PHL,pe,BAU_noES,57.611179352
AEZ7,PHL,pe,BAU_noES,-4.1490712166
AEZ8,PHL,pe,BAU_noES,-4.1490712166
AEZ9,PHL,pe,BAU_noES,-4.1490712166
AEZ10,PHL,pe,BAU_noES,-4.1490712166
AEZ11,PHL,pe,BAU_noES,54.613670349
AEZ12,PHL,pe,BAU_noES,60.216243744
AEZ13,PHL,pe,BAU_noES,-4.1490712166
AEZ14,PHL,pe,BAU_noES,-4.1490712166
AEZ15,PHL,pe,BAU_noES,-4.1490712166
AEZ16,PHL,pe,BAU_noES,-4.1490712166
AEZ17,PHL,pe,BAU_noES,-4.1490712166
AEZ18,PHL,pe,BAU_noES,-4.1490712166
UnSkLab,PHL,pe,BAU_noES,0.703599751
SkLab,PHL,pe,BAU_noES,9.5642576218
Capital,PHL,pe,BAU_noES,-17.607692719
NatRes,PHL,pe,BAU_noES,327.86871338
AEZ1,POL,pe,BAU_noES,25.673978806
AEZ2,POL,pe,BAU_noES,25.673978806
AEZ3,POL,pe,BAU_noES,25.673978806
AEZ4,POL,pe,BAU_noES,25.673978806
AEZ5,POL,pe,BAU_noES,25.673978806
AEZ6,POL,pe,BAU_noES,25.673978806
AEZ7,POL,pe,BAU_noES,25.673978806
AEZ8,POL,pe,BAU_noES,25.673978806
AEZ9,POL,pe,BAU_noES,45.978782654
AEZ10,POL,pe,BAU_noES,49.475364685
AEZ11,POL,pe,BAU_noES,25.673978806
AEZ12,POL,pe,BAU_noES,25.673978806
AEZ13,POL,pe,BAU_noES,25.673978806
AEZ14,POL,pe,BAU_noES,25.673978806
AEZ15,POL,pe,BAU_noES,54.828807831
AEZ16,POL,pe,BAU_noES,59.419902802
AEZ17,POL,pe,BAU_noES,25.673978806
AEZ18,POL,pe,BAU_noES,25.673978806
UnSkLab,POL,pe,BAU_noES,11.301257133
SkLab,POL,pe,BAU_noES,-0.89375126362
Capital,POL,pe,BAU_noES,-17.378679276
NatRes,POL,pe,BAU_noES,246.93347168
AEZ1,R_S_Asia,pe,BAU_noES,28.167066574
AEZ2,R_S_Asia,pe,BAU_noES,28.167066574
AEZ3,R_S_Asia,pe,BAU_noES,40.69890976
AEZ4,R_S_Asia,pe,BAU_noES,51.850944519
AEZ5,R_S_Asia,pe,BAU_noES,50.530014038
AEZ6,R_S_Asia,pe,BAU_noES,48.201808929
AEZ7,R_S_Asia,pe,BAU_noES,53.936618805
AEZ8,R_S_Asia,pe,BAU_noES,55.659667969
AEZ9,R_S_Asia,pe,BAU_noES,52.849441528
AEZ10,R_S_Asia,pe,BAU_noES,53.999874115
AEZ11,R_S_Asia,pe,BAU_noES,46.675575256
AEZ12,R_S_Asia,pe,BAU_noES,40.943332672
AEZ13,R_S_Asia,pe,BAU_noES,38.742641449
AEZ14,R_S_Asia,pe,BAU_noES,38.715759277
AEZ15,R_S_Asia,pe,BAU_noES,28.167066574
AEZ16,R_S_Asia,pe,BAU_noES,28.167066574
AEZ17,R_S_Asia,pe,BAU_noES,28.167066574
AEZ18,R_S_Asia,pe,BAU_noES,28.167066574
UnSkLab,R_S_Asia,pe,BAU_noES,-5.9730648994
SkLab,R_S_Asia,pe,BAU_noES,10.299563408
Capital,R_S_Asia,pe,BAU_noES,-16.828947067
NatRes,R_S_Asia,pe,BAU_noES,289.38931274
AEZ1,R_SE_Asia,pe,BAU_noES,37.968868256
AEZ2,R_SE_Asia,pe,BAU_noES,37.968868256
AEZ3,R_SE_Asia,pe,BAU_noES,37.789096832
AEZ4,R_SE_Asia,pe,BAU_noES,38.38363266
AEZ5,R_SE_Asia,pe,BAU_noES,44.779884338
AEZ6,R_SE_Asia,pe,BAU_noES,42.37480545
AEZ7,R_SE_Asia,pe,BAU_noES,37.96887207
AEZ8,R_SE_Asia,pe,BAU_noES,37.968868256
AEZ9,R_SE_Asia,pe,BAU_noES,38.570842743
AEZ10,R_SE_Asia,pe,BAU_noES,43.533374786
AEZ11,R_SE_Asia,pe,BAU_noES,51.53850174
AEZ12,R_SE_Asia,pe,BAU_noES,54.070163727
AEZ13,R_SE_Asia,pe,BAU_noES,37.968868256
AEZ14,R_SE_Asia,pe,BAU_noES,37.968868256
AEZ15,R_SE_Asia,pe,BAU_noES,37.968868256
AEZ16,R_SE_Asia,pe,BAU_noES,49.038913727
AEZ17,R_SE_Asia,pe,BAU_noES,37.968868256
AEZ18,R_SE_Asia,pe,BAU_noES,37.968868256
UnSkLab,R_SE_Asia,pe,BAU_noES,-12.062121391
SkLab,R_SE_Asia,pe,BAU_noES,-23.725467682
Capital,R_SE_Asia,pe,BAU_noES,-34.483669281
NatRes,R_SE_Asia,pe,BAU_noES,213.73165894
AEZ1,Russia,pe,BAU_noES,227.64627075
AEZ2,Russia,pe,BAU_noES,227.64622498
AEZ3,Russia,pe,BAU_noES,227.64622498
AEZ4,Russia,pe,BAU_noES,227.64625549
AEZ5,Russia,pe,BAU_noES,227.64625549
AEZ6,Russia,pe,BAU_noES,227.64622498
AEZ7,Russia,pe,BAU_noES,227.64625549
AEZ8,Russia,pe,BAU_noES,-0.59881860018
AEZ9,Russia,pe,BAU_noES,-8.4048070908
AEZ10,Russia,pe,BAU_noES,-8.0534343719
AEZ11,Russia,pe,BAU_noES,-1.0259757042
AEZ12,Russia,pe,BAU_noES,-19.054336548
AEZ13,Russia,pe,BAU_noES,25.948684692
AEZ14,Russia,pe,BAU_noES,26.186288834
AEZ15,Russia,pe,BAU_noES,22.608053207
AEZ16,Russia,pe,BAU_noES,227.64622498
AEZ17,Russia,pe,BAU_noES,227.64625549
AEZ18,Russia,pe,BAU_noES,-31.592199326
UnSkLab,Russia,pe,BAU_noES,35.802871704
SkLab,Russia,pe,BAU_noES,37.696678162
Capital,Russia,pe,BAU_noES,1.0144594908
NatRes,Russia,pe,BAU_noES,191.52674866
AEZ1,S_o_Amer,pe,BAU_noES,28.823705673
AEZ2,S_o_Amer,pe,BAU_noES,30.340301514
AEZ3,S_o_Amer,pe,BAU_noES,30.824262619
AEZ4,S_o_Amer,pe,BAU_noES,32.022529602
AEZ5,S_o_Amer,pe,BAU_noES,32.233860016
AEZ6,S_o_Amer,pe,BAU_noES,29.119710922
AEZ7,S_o_Amer,pe,BAU_noES,29.199539185
AEZ8,S_o_Amer,pe,BAU_noES,29.193685532
AEZ9,S_o_Amer,pe,BAU_noES,29.558900833
AEZ10,S_o_Amer,pe,BAU_noES,30.136045456
AEZ11,S_o_Amer,pe,BAU_noES,29.414432526
AEZ12,S_o_Amer,pe,BAU_noES,31.045650482
AEZ13,S_o_Amer,pe,BAU_noES,27.497428894
AEZ14,S_o_Amer,pe,BAU_noES,28.348651886
AEZ15,S_o_Amer,pe,BAU_noES,27.74162674
AEZ16,S_o_Amer,pe,BAU_noES,27.132335663
AEZ17,S_o_Amer,pe,BAU_noES,26.574804306
AEZ18,S_o_Amer,pe,BAU_noES,21.57037735
UnSkLab,S_o_Amer,pe,BAU_noES,2.6912126541
SkLab,S_o_Amer,pe,BAU_noES,2.3059344292
Capital,S_o_Amer,pe,BAU_noES,-14.152092934
NatRes,S_o_Amer,pe,BAU_noES,220.59547424
AEZ1,S_S_AFR,pe,BAU_noES,160.8677063
AEZ2,S_S_AFR,pe,BAU_noES,167.25671387
AEZ3,S_S_AFR,pe,BAU_noES,163.83076477
AEZ4,S_S_AFR,pe,BAU_noES,155.44395447
AEZ5,S_S_AFR,pe,BAU_noES,158.84634399
AEZ6,S_S_AFR,pe,BAU_noES,141.91275024
AEZ7,S_S_AFR,pe,BAU_noES,159.66140747
AEZ8,S_S_AFR,pe,BAU_noES,157.58218384
AEZ9,S_S_AFR,pe,BAU_noES,159.1832428
AEZ10,S_S_AFR,pe,BAU_noES,167.804245
AEZ11,S_S_AFR,pe,BAU_noES,163.65223694
AEZ12,S_S_AFR,pe,BAU_noES,164.22021484
AEZ13,S_S_AFR,pe,BAU_noES,162.63728333
AEZ14,S_S_AFR,pe,BAU_noES,162.63728333
AEZ15,S_S_AFR,pe,BAU_noES,162.63728333
AEZ16,S_S_AFR,pe,BAU_noES,162.63728333
AEZ17,S_S_AFR,pe,BAU_noES,162.63728333
AEZ18,S_S_AFR,pe,BAU_noES,162.63728333
UnSkLab,S_S_AFR,pe,BAU_noES,-0.17172834277
SkLab,S_S_AFR,pe,BAU_noES,4.1548819542
Capital,S_S_AFR,pe,BAU_noES,-12.265947342
NatRes,S_S_AFR,pe,BAU_noES,257.38235474
AEZ1,TUR,pe,BAU_noES,8881066
AEZ2,TUR,pe,BAU_noES,8881066
AEZ3,TUR,pe,BAU_noES,8881067
AEZ4,TUR,pe,BAU_noES,8881066
AEZ5,TUR,pe,BAU_noES,8881066
AEZ6,TUR,pe,BAU_noES,8881068
AEZ7,TUR,pe,BAU_noES,123.53224945
AEZ8,TUR,pe,BAU_noES,122.89719391
AEZ9,TUR,pe,BAU_noES,119.00416565
AEZ10,TUR,pe,BAU_noES,121.44436646
AEZ11,TUR,pe,BAU_noES,127.20695496
AEZ12,TUR,pe,BAU_noES,126.86921692
AEZ13,TUR,pe,BAU_noES,124.37119293
AEZ14,TUR,pe,BAU_noES,96.882759094
AEZ15,TUR,pe,BAU_noES,105.86924744
AEZ16,TUR,pe,BAU_noES,8881066
AEZ17,TUR,pe,BAU_noES,8881067
AEZ18,TUR,pe,BAU_noES,8881067
UnSkLab,TUR,pe,BAU_noES,-3.469489336
SkLab,TUR,pe,BAU_noES,-2.9838929176
Capital,TUR,pe,BAU_noES,-23.323389053
NatRes,TUR,pe,BAU_noES,299.42111206
AEZ1,USA,pe,BAU_noES,24120.195313
AEZ2,USA,pe,BAU_noES,24120.195313
AEZ3,USA,pe,BAU_noES,24120.189453
AEZ4,USA,pe,BAU_noES,38.304615021
AEZ5,USA,pe,BAU_noES,35.729972839
AEZ6,USA,pe,BAU_noES,24120.195313
AEZ7,USA,pe,BAU_noES,40.224826813
AEZ8,USA,pe,BAU_noES,35.372962952
AEZ9,USA,pe,BAU_noES,37.542430878
AEZ10,USA,pe,BAU_noES,37.824977875
AEZ11,USA,pe,BAU_noES,41.407276154
