ACTS,REG,RACTRES,SCEN,Value
wheat,COL,qo,BAU_aES,-0.53580361605
crsgrns,COL,qo,BAU_aES,-0.2530900538
fruitveg,COL,qo,BAU_aES,-0.21087153256
oilsds,COL,qo,BAU_aES,-0.5707911253
sugarcrps,COL,qo,BAU_aES,0.021751085296
cotton,COL,qo,BAU_aES,-1.5022332668
othercrps,COL,qo,BAU_aES,-1.3698205948
forestsec,COL,qo,BAU_aES,-0.011427978054
fishery,COL,qo,BAU_aES,1.2236456871
ruminant,COL,qo,BAU_aES,0.18658652902
nonruminant,COL,qo,BAU_aES,0.14372110367
PrFood,COL,qo,BAU_aES,0.077025935054
PrLstk,COL,qo,BAU_aES,0.25977444649
NRes,COL,qo,BAU_aES,0.40027040243
Mnfcing,COL,qo,BAU_aES,-1.2879788876
Services,COL,qo,BAU_aES,0.078614659607
paddyrice,E_Asia,qo,BAU_aES,-0.14622275531
wheat,E_Asia,qo,BAU_aES,0.50605934858
crsgrns,E_Asia,qo,BAU_aES,-0.11545775831
fruitveg,E_Asia,qo,BAU_aES,-3.2462666035
oilsds,E_Asia,qo,BAU_aES,-26.099395752
sugarcrps,E_Asia,qo,BAU_aES,-0.40289372206
cotton,E_Asia,qo,BAU_aES,-13.303648949
othercrps,E_Asia,qo,BAU_aES,-1.0327737331
forestsec,E_Asia,qo,BAU_aES,-0.50569778681
fishery,E_Asia,qo,BAU_aES,21.451715469
ruminant,E_Asia,qo,BAU_aES,-8.78332299180329E-0004
nonruminant,E_Asia,qo,BAU_aES,0.22201052308
PrFood,E_Asia,qo,BAU_aES,1.2667137384
PrLstk,E_Asia,qo,BAU_aES,0.16032369435
NRes,E_Asia,qo,BAU_aES,0.15401421487
Mnfcing,E_Asia,qo,BAU_aES,-0.81474608183
Services,E_Asia,qo,BAU_aES,-7.53140123561025E-0003
paddyrice,EGY,qo,BAU_aES,0.16557459533
wheat,EGY,qo,BAU_aES,0.63110685349
crsgrns,EGY,qo,BAU_aES,0.41002437472
fruitveg,EGY,qo,BAU_aES,0.44468212128
oilsds,EGY,qo,BAU_aES,0.47887474298
sugarcrps,EGY,qo,BAU_aES,0.14461551607
cotton,EGY,qo,BAU_aES,0.43698728085
othercrps,EGY,qo,BAU_aES,0.81731134653
forestsec,EGY,qo,BAU_aES,0.59992289543
fishery,EGY,qo,BAU_aES,-6.4996800423
ruminant,EGY,qo,BAU_aES,-0.10309543461
nonruminant,EGY,qo,BAU_aES,-0.26257246733
PrFood,EGY,qo,BAU_aES,-0.47036257386
PrLstk,EGY,qo,BAU_aES,0.8446918726
NRes,EGY,qo,BAU_aES,-2.5610892773
Mnfcing,EGY,qo,BAU_aES,0.14273028076
Services,EGY,qo,BAU_aES,-0.10774046183
paddyrice,ETH,qo,BAU_aES,-0.93924611807
wheat,ETH,qo,BAU_aES,0.81450378895
crsgrns,ETH,qo,BAU_aES,0.3646351099
fruitveg,ETH,qo,BAU_aES,0.42506635189
oilsds,ETH,qo,BAU_aES,3.7002966404
sugarcrps,ETH,qo,BAU_aES,0.36217203736
cotton,ETH,qo,BAU_aES,0.63402456045
othercrps,ETH,qo,BAU_aES,0.75942730904
forestsec,ETH,qo,BAU_aES,-1.4074901342
fishery,ETH,qo,BAU_aES,-0.32505246997
ruminant,ETH,qo,BAU_aES,0.51615190506
nonruminant,ETH,qo,BAU_aES,1.0412334204
PrFood,ETH,qo,BAU_aES,0.5373390317
PrLstk,ETH,qo,BAU_aES,-1.0563001633
NRes,ETH,qo,BAU_aES,1.934658289
Mnfcing,ETH,qo,BAU_aES,-1.3370125294
Services,ETH,qo,BAU_aES,-1.0545756817
paddyrice,EU27,qo,BAU_aES,0.49352824688
wheat,EU27,qo,BAU_aES,0.11453044415
crsgrns,EU27,qo,BAU_aES,0.13623511791
fruitveg,EU27,qo,BAU_aES,0.49000716209
oilsds,EU27,qo,BAU_aES,1.7266582251
sugarcrps,EU27,qo,BAU_aES,0.069513306022
cotton,EU27,qo,BAU_aES,0.90190654993
othercrps,EU27,qo,BAU_aES,-0.69531673193
forestsec,EU27,qo,BAU_aES,-2.6576197147
fishery,EU27,qo,BAU_aES,12.007815361
ruminant,EU27,qo,BAU_aES,0.021750282496
nonruminant,EU27,qo,BAU_aES,0.10430262983
PrFood,EU27,qo,BAU_aES,0.43986901641
PrLstk,EU27,qo,BAU_aES,0.10510031134
NRes,EU27,qo,BAU_aES,0.31261208653
Mnfcing,EU27,qo,BAU_aES,0.081022650003
Services,EU27,qo,BAU_aES,-0.029663352296
paddyrice,IDN,qo,BAU_aES,-0.19671390951
wheat,IDN,qo,BAU_aES,0.12515367568
crsgrns,IDN,qo,BAU_aES,-0.028770515695
fruitveg,IDN,qo,BAU_aES,-0.45386296511
oilsds,IDN,qo,BAU_aES,-0.40630748868
sugarcrps,IDN,qo,BAU_aES,4.82261925935745E-0003
cotton,IDN,qo,BAU_aES,-1.1863960028
othercrps,IDN,qo,BAU_aES,-1.1500136852
forestsec,IDN,qo,BAU_aES,-2.1301450729
fishery,IDN,qo,BAU_aES,-1.7217389345
ruminant,IDN,qo,BAU_aES,0.12339945138
nonruminant,IDN,qo,BAU_aES,0.14315253496
PrFood,IDN,qo,BAU_aES,0.012170545757
PrLstk,IDN,qo,BAU_aES,0.48815482855
NRes,IDN,qo,BAU_aES,-0.091075152159
Mnfcing,IDN,qo,BAU_aES,-1.5935177803
Services,IDN,qo,BAU_aES,0.042450871319
paddyrice,INDIA,qo,BAU_aES,0.55276286602
wheat,INDIA,qo,BAU_aES,0.59388560057
crsgrns,INDIA,qo,BAU_aES,0.011543611996
fruitveg,INDIA,qo,BAU_aES,0.10377751291
oilsds,INDIA,qo,BAU_aES,0.20920163393
sugarcrps,INDIA,qo,BAU_aES,0.18466095626
cotton,INDIA,qo,BAU_aES,-1.0533872843
othercrps,INDIA,qo,BAU_aES,0.059179451317
forestsec,INDIA,qo,BAU_aES,2.0811271667
fishery,INDIA,qo,BAU_aES,-4.3211112022
ruminant,INDIA,qo,BAU_aES,-0.25509756804
nonruminant,INDIA,qo,BAU_aES,-0.31198248267
PrFood,INDIA,qo,BAU_aES,0.6996820569
PrLstk,INDIA,qo,BAU_aES,-4.0251436234
NRes,INDIA,qo,BAU_aES,-1.5090706348
Mnfcing,INDIA,qo,BAU_aES,-0.3223951757
Services,INDIA,qo,BAU_aES,0.012419061735
paddyrice,JAPAN,qo,BAU_aES,-0.50176137686
wheat,JAPAN,qo,BAU_aES,0.71926981211
crsgrns,JAPAN,qo,BAU_aES,0.76883107424
fruitveg,JAPAN,qo,BAU_aES,0.10689026862
oilsds,JAPAN,qo,BAU_aES,0.82552027702
sugarcrps,JAPAN,qo,BAU_aES,-0.46553525329
cotton,JAPAN,qo,BAU_aES,-0.26238188148
othercrps,JAPAN,qo,BAU_aES,0.029703069478
forestsec,JAPAN,qo,BAU_aES,0.033681645989
fishery,JAPAN,qo,BAU_aES,-1.9572309256
ruminant,JAPAN,qo,BAU_aES,-0.059003394097
nonruminant,JAPAN,qo,BAU_aES,-0.24078698456
PrFood,JAPAN,qo,BAU_aES,-0.5342912674
PrLstk,JAPAN,qo,BAU_aES,-0.054396193475
NRes,JAPAN,qo,BAU_aES,-2.3981499672
Mnfcing,JAPAN,qo,BAU_aES,0.5482288599
Services,JAPAN,qo,BAU_aES,-0.089135177433
paddyrice,KOR,qo,BAU_aES,-0.47837173939
wheat,KOR,qo,BAU_aES,0.31770223379
crsgrns,KOR,qo,BAU_aES,0.11804097891
fruitveg,KOR,qo,BAU_aES,-0.60412693024
oilsds,KOR,qo,BAU_aES,-1.9183362722
sugarcrps,KOR,qo,BAU_aES,-0.28874182701
cotton,KOR,qo,BAU_aES,-0.45521581173
othercrps,KOR,qo,BAU_aES,-0.23746460676
forestsec,KOR,qo,BAU_aES,9.359292984
fishery,KOR,qo,BAU_aES,-3.5387246609
ruminant,KOR,qo,BAU_aES,0.043987330049
nonruminant,KOR,qo,BAU_aES,-0.16028809547
PrFood,KOR,qo,BAU_aES,-0.56553608179
PrLstk,KOR,qo,BAU_aES,0.052182812244
NRes,KOR,qo,BAU_aES,-3.2157022953
Mnfcing,KOR,qo,BAU_aES,0.39429667592
Services,KOR,qo,BAU_aES,-0.1344769001
paddyrice,MAR,qo,BAU_aES,0.28389543295
wheat,MAR,qo,BAU_aES,0.29709020257
crsgrns,MAR,qo,BAU_aES,0.24668741226
fruitveg,MAR,qo,BAU_aES,7.02091120183468E-0003
oilsds,MAR,qo,BAU_aES,-0.11601343751
sugarcrps,MAR,qo,BAU_aES,0.41797608137
cotton,MAR,qo,BAU_aES,-0.19113537669
othercrps,MAR,qo,BAU_aES,-0.72644966841
forestsec,MAR,qo,BAU_aES,1.210042119
fishery,MAR,qo,BAU_aES,14.019347191
ruminant,MAR,qo,BAU_aES,-0.023607365787
nonruminant,MAR,qo,BAU_aES,0.21485263109
PrFood,MAR,qo,BAU_aES,0.5151373148
PrLstk,MAR,qo,BAU_aES,0.52813482285
NRes,MAR,qo,BAU_aES,1.2748292685
Mnfcing,MAR,qo,BAU_aES,-0.54197520018
Services,MAR,qo,BAU_aES,-3.38264997117221E-0003
paddyrice,MDG,qo,BAU_aES,-0.93503278494
wheat,MDG,qo,BAU_aES,-1.2623953819
crsgrns,MDG,qo,BAU_aES,-0.63926100731
fruitveg,MDG,qo,BAU_aES,-0.75769907236
oilsds,MDG,qo,BAU_aES,-2.1813275814
sugarcrps,MDG,qo,BAU_aES,-0.70581454039
cotton,MDG,qo,BAU_aES,-4.2191214561
othercrps,MDG,qo,BAU_aES,-1.8063561916
forestsec,MDG,qo,BAU_aES,0.36435443163
fishery,MDG,qo,BAU_aES,-4.0317645073
ruminant,MDG,qo,BAU_aES,-0.96553826332
nonruminant,MDG,qo,BAU_aES,-0.83666366339
PrFood,MDG,qo,BAU_aES,-0.90549176931
PrLstk,MDG,qo,BAU_aES,-1.2719113827
NRes,MDG,qo,BAU_aES,-2.8226020336
Mnfcing,MDG,qo,BAU_aES,1.1470019817
Services,MDG,qo,BAU_aES,-0.085296861827
paddyrice,MEAS_NAfr,qo,BAU_aES,0.22919240594
wheat,MEAS_NAfr,qo,BAU_aES,-0.26413491368
crsgrns,MEAS_NAfr,qo,BAU_aES,0.17949262261
fruitveg,MEAS_NAfr,qo,BAU_aES,0.42995125055
oilsds,MEAS_NAfr,qo,BAU_aES,-0.54496848583
sugarcrps,MEAS_NAfr,qo,BAU_aES,0.20895397663
cotton,MEAS_NAfr,qo,BAU_aES,1.1383934021
othercrps,MEAS_NAfr,qo,BAU_aES,-0.89769494534
forestsec,MEAS_NAfr,qo,BAU_aES,-2.373916626
fishery,MEAS_NAfr,qo,BAU_aES,1.9990829229
ruminant,MEAS_NAfr,qo,BAU_aES,0.095111586154
nonruminant,MEAS_NAfr,qo,BAU_aES,0.48245555162
PrFood,MEAS_NAfr,qo,BAU_aES,0.39313694835
PrLstk,MEAS_NAfr,qo,BAU_aES,0.27527052164
NRes,MEAS_NAfr,qo,BAU_aES,0.16778410971
Mnfcing,MEAS_NAfr,qo,BAU_aES,-3.1057736874
Services,MEAS_NAfr,qo,BAU_aES,0.20866008103
paddyrice,MEX,qo,BAU_aES,-0.014795512892
wheat,MEX,qo,BAU_aES,0.16963331401
crsgrns,MEX,qo,BAU_aES,0.15623305738
fruitveg,MEX,qo,BAU_aES,0.17193828523
oilsds,MEX,qo,BAU_aES,0.043072912842
sugarcrps,MEX,qo,BAU_aES,0.21856980026
cotton,MEX,qo,BAU_aES,-0.53128963709
othercrps,MEX,qo,BAU_aES,-0.23482063413
forestsec,MEX,qo,BAU_aES,7.2219262123
fishery,MEX,qo,BAU_aES,-3.5532903671
ruminant,MEX,qo,BAU_aES,0.16771803796
nonruminant,MEX,qo,BAU_aES,0.15581795573
PrFood,MEX,qo,BAU_aES,0.29899209738
PrLstk,MEX,qo,BAU_aES,0.11771638691
NRes,MEX,qo,BAU_aES,0.054893784225
Mnfcing,MEX,qo,BAU_aES,-0.59472501278
Services,MEX,qo,BAU_aES,0.075729757547
paddyrice,MYS,qo,BAU_aES,-0.41543409228
wheat,MYS,qo,BAU_aES,0.52104151249
crsgrns,MYS,qo,BAU_aES,-0.25577020645
fruitveg,MYS,qo,BAU_aES,-1.7594053745
oilsds,MYS,qo,BAU_aES,-0.50821274519
sugarcrps,MYS,qo,BAU_aES,-0.27003157139
cotton,MYS,qo,BAU_aES,-0.29931145906
othercrps,MYS,qo,BAU_aES,-1.5580631495
forestsec,MYS,qo,BAU_aES,-0.81925827265
fishery,MYS,qo,BAU_aES,-5.5717697144
ruminant,MYS,qo,BAU_aES,-0.12546297908
nonruminant,MYS,qo,BAU_aES,-0.074124373496
PrFood,MYS,qo,BAU_aES,-0.46018150449
PrLstk,MYS,qo,BAU_aES,0.21219269931
NRes,MYS,qo,BAU_aES,-0.47244742513
Mnfcing,MYS,qo,BAU_aES,-0.1192471236
Services,MYS,qo,BAU_aES,-0.022754082456
paddyrice,NGA,qo,BAU_aES,0.14798252285
wheat,NGA,qo,BAU_aES,-1.1392550468
crsgrns,NGA,qo,BAU_aES,0.1470938921
fruitveg,NGA,qo,BAU_aES,0.15016521513
oilsds,NGA,qo,BAU_aES,0.24207445979
sugarcrps,NGA,qo,BAU_aES,0.1514313817
cotton,NGA,qo,BAU_aES,-0.50746768713
othercrps,NGA,qo,BAU_aES,0.70016479492
forestsec,NGA,qo,BAU_aES,-0.34721502662
fishery,NGA,qo,BAU_aES,-2.6580448151
ruminant,NGA,qo,BAU_aES,0.11287654936
nonruminant,NGA,qo,BAU_aES,0.14179855585
PrFood,NGA,qo,BAU_aES,0.33193317056
PrLstk,NGA,qo,BAU_aES,0.14924049377
NRes,NGA,qo,BAU_aES,-0.55922198296
Mnfcing,NGA,qo,BAU_aES,-0.37051323056
Services,NGA,qo,BAU_aES,0.10838502645
paddyrice,Oceania,qo,BAU_aES,0.13337729871
wheat,Oceania,qo,BAU_aES,-0.24994038045
crsgrns,Oceania,qo,BAU_aES,-1.4573687315
fruitveg,Oceania,qo,BAU_aES,-0.58696967363
oilsds,Oceania,qo,BAU_aES,-0.86963021755
sugarcrps,Oceania,qo,BAU_aES,-0.20103180408
cotton,Oceania,qo,BAU_aES,-0.39817255735
othercrps,Oceania,qo,BAU_aES,-0.52743637562
forestsec,Oceania,qo,BAU_aES,-0.85368573666
fishery,Oceania,qo,BAU_aES,15.603335381
ruminant,Oceania,qo,BAU_aES,-1.4480512142
nonruminant,Oceania,qo,BAU_aES,-0.33417072892
PrFood,Oceania,qo,BAU_aES,0.27425092459
PrLstk,Oceania,qo,BAU_aES,-1.3274768591
NRes,Oceania,qo,BAU_aES,0.14896437526
Mnfcing,Oceania,qo,BAU_aES,-2.4455301762
Services,Oceania,qo,BAU_aES,0.090554043651
paddyrice,Oth_CEE_CIS,qo,BAU_aES,-0.098830133677
wheat,Oth_CEE_CIS,qo,BAU_aES,0.20175990462
crsgrns,Oth_CEE_CIS,qo,BAU_aES,8.62959306687117E-0003
fruitveg,Oth_CEE_CIS,qo,BAU_aES,-0.096970044076
oilsds,Oth_CEE_CIS,qo,BAU_aES,-2.852699995
sugarcrps,Oth_CEE_CIS,qo,BAU_aES,0.096716217697
cotton,Oth_CEE_CIS,qo,BAU_aES,-0.18641121686
othercrps,Oth_CEE_CIS,qo,BAU_aES,-0.64269810915
forestsec,Oth_CEE_CIS,qo,BAU_aES,0.55619841814
fishery,Oth_CEE_CIS,qo,BAU_aES,-4.6185688972
ruminant,Oth_CEE_CIS,qo,BAU_aES,0.17999097705
nonruminant,Oth_CEE_CIS,qo,BAU_aES,0.22627572715
PrFood,Oth_CEE_CIS,qo,BAU_aES,0.22478584945
PrLstk,Oth_CEE_CIS,qo,BAU_aES,0.31949540973
NRes,Oth_CEE_CIS,qo,BAU_aES,0.21639223397
Mnfcing,Oth_CEE_CIS,qo,BAU_aES,-2.3279829025
Services,Oth_CEE_CIS,qo,BAU_aES,0.087333343923
paddyrice,Oth_Europe,qo,BAU_aES,-0.11361704767
wheat,Oth_Europe,qo,BAU_aES,-0.70085251331
crsgrns,Oth_Europe,qo,BAU_aES,-0.71668642759
fruitveg,Oth_Europe,qo,BAU_aES,-0.71644848585
oilsds,Oth_Europe,qo,BAU_aES,-1.8792417049
sugarcrps,Oth_Europe,qo,BAU_aES,-1.5277152061
cotton,Oth_Europe,qo,BAU_aES,-0.35877117515
othercrps,Oth_Europe,qo,BAU_aES,-0.33168515563
forestsec,Oth_Europe,qo,BAU_aES,2.983566761
fishery,Oth_Europe,qo,BAU_aES,-6.355483532
ruminant,Oth_Europe,qo,BAU_aES,-0.70934104919
nonruminant,Oth_Europe,qo,BAU_aES,-0.68157458305
PrFood,Oth_Europe,qo,BAU_aES,-2.1968624592
PrLstk,Oth_Europe,qo,BAU_aES,-0.85418957472
NRes,Oth_Europe,qo,BAU_aES,0.37236976624
Mnfcing,Oth_Europe,qo,BAU_aES,-0.22310933471
Services,Oth_Europe,qo,BAU_aES,0.025708973408
paddyrice,PAK,qo,BAU_aES,0.60868793726
wheat,PAK,qo,BAU_aES,0.56440716982
crsgrns,PAK,qo,BAU_aES,0.22102376819
fruitveg,PAK,qo,BAU_aES,0.68512129784
oilsds,PAK,qo,BAU_aES,1.4582910538
sugarcrps,PAK,qo,BAU_aES,0.55640637875
cotton,PAK,qo,BAU_aES,1.4571467638
othercrps,PAK,qo,BAU_aES,-0.067281804979
forestsec,PAK,qo,BAU_aES,-0.062094185501
fishery,PAK,qo,BAU_aES,-1.1612786055
ruminant,PAK,qo,BAU_aES,0.19596773386
nonruminant,PAK,qo,BAU_aES,0.47493344545
PrFood,PAK,qo,BAU_aES,1.4333398342
PrLstk,PAK,qo,BAU_aES,0.40047436953
NRes,PAK,qo,BAU_aES,-3.4058277607
Mnfcing,PAK,qo,BAU_aES,1.3783762455
Services,PAK,qo,BAU_aES,-0.20779950917
paddyrice,PHL,qo,BAU_aES,0.14657564461
wheat,PHL,qo,BAU_aES,-0.06034469232
crsgrns,PHL,qo,BAU_aES,0.24140532315
fruitveg,PHL,qo,BAU_aES,-0.70723772049
oilsds,PHL,qo,BAU_aES,0.40098953247
sugarcrps,PHL,qo,BAU_aES,0.54988253117
cotton,PHL,qo,BAU_aES,-1.4856677055
othercrps,PHL,qo,BAU_aES,-0.32709422708
forestsec,PHL,qo,BAU_aES,-0.72160297632
fishery,PHL,qo,BAU_aES,1.534031868
ruminant,PHL,qo,BAU_aES,-0.051677070558
nonruminant,PHL,qo,BAU_aES,0.14089919627
PrFood,PHL,qo,BAU_aES,0.56507235765
PrLstk,PHL,qo,BAU_aES,0.21822710335
NRes,PHL,qo,BAU_aES,3.911231041
Mnfcing,PHL,qo,BAU_aES,-0.87222325802
Services,PHL,qo,BAU_aES,0.052635863423
paddyrice,POL,qo,BAU_aES,0.17807425559
wheat,POL,qo,BAU_aES,1.1037737131
crsgrns,POL,qo,BAU_aES,0.46639919281
fruitveg,POL,qo,BAU_aES,-7.773765564
oilsds,POL,qo,BAU_aES,-16.727020264
sugarcrps,POL,qo,BAU_aES,0.399828583
cotton,POL,qo,BAU_aES,-2.2859606743
othercrps,POL,qo,BAU_aES,0.38205930591
forestsec,POL,qo,BAU_aES,0.24764187634
fishery,POL,qo,BAU_aES,22.694597244
ruminant,POL,qo,BAU_aES,0.18058234453
nonruminant,POL,qo,BAU_aES,0.25923404098
PrFood,POL,qo,BAU_aES,0.24535508454
PrLstk,POL,qo,BAU_aES,0.21537639201
NRes,POL,qo,BAU_aES,0.27011275291
Mnfcing,POL,qo,BAU_aES,0.13430510461
Services,POL,qo,BAU_aES,-0.053500197828
paddyrice,R_S_Asia,qo,BAU_aES,-0.32107761502
wheat,R_S_Asia,qo,BAU_aES,-0.010024306364
crsgrns,R_S_Asia,qo,BAU_aES,-0.25343972445
fruitveg,R_S_Asia,qo,BAU_aES,-0.14786721766
oilsds,R_S_Asia,qo,BAU_aES,-0.16631655395
sugarcrps,R_S_Asia,qo,BAU_aES,-0.39379024506
cotton,R_S_Asia,qo,BAU_aES,0.72336858511
othercrps,R_S_Asia,qo,BAU_aES,-0.048287518322
forestsec,R_S_Asia,qo,BAU_aES,-1.2132445574
fishery,R_S_Asia,qo,BAU_aES,-6.8661088943
ruminant,R_S_Asia,qo,BAU_aES,-0.17370195687
nonruminant,R_S_Asia,qo,BAU_aES,4.79747104691342E-0004
PrFood,R_S_Asia,qo,BAU_aES,-0.48811015487
PrLstk,R_S_Asia,qo,BAU_aES,0.91556656361
NRes,R_S_Asia,qo,BAU_aES,-6.870885849
Mnfcing,R_S_Asia,qo,BAU_aES,1.2646348476
Services,R_S_Asia,qo,BAU_aES,-0.10804126412
paddyrice,R_SE_Asia,qo,BAU_aES,-0.59603410959
wheat,R_SE_Asia,qo,BAU_aES,0.82316309214
crsgrns,R_SE_Asia,qo,BAU_aES,0.026114800945
fruitveg,R_SE_Asia,qo,BAU_aES,0.1910456568
oilsds,R_SE_Asia,qo,BAU_aES,2.1084165573
sugarcrps,R_SE_Asia,qo,BAU_aES,-0.62993389368
cotton,R_SE_Asia,qo,BAU_aES,4.7463951111
othercrps,R_SE_Asia,qo,BAU_aES,0.48636651039
forestsec,R_SE_Asia,qo,BAU_aES,-0.16922174394
fishery,R_SE_Asia,qo,BAU_aES,-1.0883802176
ruminant,R_SE_Asia,qo,BAU_aES,0.22854797542
nonruminant,R_SE_Asia,qo,BAU_aES,0.069869488478
PrFood,R_SE_Asia,qo,BAU_aES,-0.64421635866
PrLstk,R_SE_Asia,qo,BAU_aES,0.53022581339
NRes,R_SE_Asia,qo,BAU_aES,-0.92219144106
Mnfcing,R_SE_Asia,qo,BAU_aES,-1.0329585075
Services,R_SE_Asia,qo,BAU_aES,0.1884803623
paddyrice,Russia,qo,BAU_aES,-0.96926397085
wheat,Russia,qo,BAU_aES,-0.97950357199
crsgrns,Russia,qo,BAU_aES,-0.17668737471
fruitveg,Russia,qo,BAU_aES,-0.42700481415
oilsds,Russia,qo,BAU_aES,-0.033526346087
sugarcrps,Russia,qo,BAU_aES,-0.18815419078
cotton,Russia,qo,BAU_aES,-0.6171964407
othercrps,Russia,qo,BAU_aES,-2.2642259598
forestsec,Russia,qo,BAU_aES,-1.095384717
fishery,Russia,qo,BAU_aES,1.7632522583
ruminant,Russia,qo,BAU_aES,0.27399620414
nonruminant,Russia,qo,BAU_aES,0.29100510478
PrFood,Russia,qo,BAU_aES,-0.1021893695
PrLstk,Russia,qo,BAU_aES,-0.10887663811
NRes,Russia,qo,BAU_aES,0.12967902422
Mnfcing,Russia,qo,BAU_aES,-2.6123998165
Services,Russia,qo,BAU_aES,0.1311853826
paddyrice,S_o_Amer,qo,BAU_aES,-0.10106423497
wheat,S_o_Amer,qo,BAU_aES,0.26528120041
crsgrns,S_o_Amer,qo,BAU_aES,0.04386228323
fruitveg,S_o_Amer,qo,BAU_aES,-1.052057147
oilsds,S_o_Amer,qo,BAU_aES,-1.3801504374
sugarcrps,S_o_Amer,qo,BAU_aES,-0.28710499406
cotton,S_o_Amer,qo,BAU_aES,-0.99498862028
othercrps,S_o_Amer,qo,BAU_aES,-1.1741604805
forestsec,S_o_Amer,qo,BAU_aES,-2.619130373
fishery,S_o_Amer,qo,BAU_aES,-0.42697146535
ruminant,S_o_Amer,qo,BAU_aES,0.066891260445
nonruminant,S_o_Amer,qo,BAU_aES,0.078851602972
PrFood,S_o_Amer,qo,BAU_aES,-0.35837012529
PrLstk,S_o_Amer,qo,BAU_aES,0.13103210926
NRes,S_o_Amer,qo,BAU_aES,0.043514039367
Mnfcing,S_o_Amer,qo,BAU_aES,-1.2673361301
Services,S_o_Amer,qo,BAU_aES,0.11457995325
paddyrice,S_S_AFR,qo,BAU_aES,0.049707852304
wheat,S_S_AFR,qo,BAU_aES,-0.30862697959
crsgrns,S_S_AFR,qo,BAU_aES,0.13361075521
fruitveg,S_S_AFR,qo,BAU_aES,0.090926133096
oilsds,S_S_AFR,qo,BAU_aES,0.43832474947
sugarcrps,S_S_AFR,qo,BAU_aES,-0.20392221212
cotton,S_S_AFR,qo,BAU_aES,1.2385014296
othercrps,S_S_AFR,qo,BAU_aES,4.7427229881
forestsec,S_S_AFR,qo,BAU_aES,0.54034125805
fishery,S_S_AFR,qo,BAU_aES,-1.4646940231
ruminant,S_S_AFR,qo,BAU_aES,0.037462066859
nonruminant,S_S_AFR,qo,BAU_aES,0.04356957227
PrFood,S_S_AFR,qo,BAU_aES,-0.31297665834
PrLstk,S_S_AFR,qo,BAU_aES,-0.69262033701
NRes,S_S_AFR,qo,BAU_aES,-0.411454916
Mnfcing,S_S_AFR,qo,BAU_aES,-0.70153778791
Services,S_S_AFR,qo,BAU_aES,0.083063907921
paddyrice,TUR,qo,BAU_aES,0.31644260883
wheat,TUR,qo,BAU_aES,0.38912677765
crsgrns,TUR,qo,BAU_aES,0.15675267577
fruitveg,TUR,qo,BAU_aES,0.41682651639
oilsds,TUR,qo,BAU_aES,0.45404952765
sugarcrps,TUR,qo,BAU_aES,0.22895766795
cotton,TUR,qo,BAU_aES,0.42769908905
othercrps,TUR,qo,BAU_aES,-0.61321794987
forestsec,TUR,qo,BAU_aES,0.26437100768
fishery,TUR,qo,BAU_aES,-6.773706913
ruminant,TUR,qo,BAU_aES,-4.21825703233480E-0003
nonruminant,TUR,qo,BAU_aES,0.098378665745
PrFood,TUR,qo,BAU_aES,0.41661179066
PrLstk,TUR,qo,BAU_aES,0.019341776147
NRes,TUR,qo,BAU_aES,-0.54791074991
Mnfcing,TUR,qo,BAU_aES,0.45915532112
Services,TUR,qo,BAU_aES,-0.11250776798
paddyrice,USA,qo,BAU_aES,0.054154887795
wheat,USA,qo,BAU_aES,0.54226315022
crsgrns,USA,qo,BAU_aES,0.018130447716
fruitveg,USA,qo,BAU_aES,-0.57902228832
oilsds,USA,qo,BAU_aES,-0.82264965773
sugarcrps,USA,qo,BAU_aES,0.088684074581
cotton,USA,qo,BAU_aES,-0.84780091047
othercrps,USA,qo,BAU_aES,-0.38068395853
forestsec,USA,qo,BAU_aES,2.7825927734
fishery,USA,qo,BAU_aES,-6.5632324219
ruminant,USA,qo,BAU_aES,0.095840908587
nonruminant,USA,qo,BAU_aES,0.038856700063
PrFood,USA,qo,BAU_aES,0.11362761259
PrLstk,USA,qo,BAU_aES,0.094045586884
NRes,USA,qo,BAU_aES,0.27230477333
Mnfcing,USA,qo,BAU_aES,-0.14612433314
Services,USA,qo,BAU_aES,2.83616152592003E-0003
paddyrice,VNM,qo,BAU_aES,-0.40598225594
wheat,VNM,qo,BAU_aES,1.492682457
crsgrns,VNM,qo,BAU_aES,0.12635377049
fruitveg,VNM,qo,BAU_aES,-0.70415592194
oilsds,VNM,qo,BAU_aES,0.011968532577
sugarcrps,VNM,qo,BAU_aES,-0.32106527686
cotton,VNM,qo,BAU_aES,-0.24141141772
othercrps,VNM,qo,BAU_aES,-0.28515306115
forestsec,VNM,qo,BAU_aES,2.104963541
fishery,VNM,qo,BAU_aES,-0.70029205084
ruminant,VNM,qo,BAU_aES,-0.080598071218
nonruminant,VNM,qo,BAU_aES,0.27571472526
PrFood,VNM,qo,BAU_aES,-0.37365761399
PrLstk,VNM,qo,BAU_aES,3.0650658607
NRes,VNM,qo,BAU_aES,-0.18789534271
Mnfcing,VNM,qo,BAU_aES,-4.20679571107030E-0003
Services,VNM,qo,BAU_aES,-0.049367517233
paddyrice,XAC,qo,BAU_aES,2.9505240917
wheat,XAC,qo,BAU_aES,-3.6086378098
crsgrns,XAC,qo,BAU_aES,1.4340702295
fruitveg,XAC,qo,BAU_aES,-1.1919810772
oilsds,XAC,qo,BAU_aES,-1.067871809
sugarcrps,XAC,qo,BAU_aES,2.6405675411
